Country,MAE,RMSE,R2,sMAPE
Algeria,0.03231779858469963,0.06025952362448654,0.8763338327407837,55.5169
Argentina,0.026201259344816208,0.04594857440020955,0.9111379384994507,42.944447
Australia,0.025433745235204697,0.06943739600306843,0.8970346450805664,82.88404
Austria,0.021339265629649162,0.03659777852776065,0.965200662612915,24.101145
Belgium,0.03263183310627937,0.053689592628474,0.8812033534049988,38.409073
Bolivia,0.02835262566804886,0.06648932197625414,0.8119136095046997,33.12286
Bulgaria,0.03461021929979324,0.04912635801557934,0.9333720803260803,35.738613
Canada,0.015915555879473686,0.03162600575431453,0.9503943920135498,18.07069
Chile,0.01732717826962471,0.030724877101696146,0.9706398248672485,11.876431
Croatia,0.029694434255361557,0.048391341223357184,0.9430339932441711,20.968788
Cyprus,0.04649920016527176,0.07598766954230986,0.8643651008605957,38.904293
Denmark,0.016893167048692703,0.04021907528230347,0.9571118950843811,29.121212
Estonia,0.0264777522534132,0.054641527624559,0.9034882187843323,37.713192
Finland,0.03264453262090683,0.03801181500639962,0.9758931994438171,36.302273
France,0.02145404927432537,0.03866158773644132,0.9514155983924866,23.602499
Germany,0.02555733174085617,0.03810328308672739,0.9720658659934998,26.929272
Greece,0.030878299847245216,0.07182917377933559,0.8561633229255676,20.176353
Hungary,0.029049642384052277,0.043643855223255035,0.949661135673523,32.074528
Iceland,0.037650804966688156,0.09250995464017717,0.7641142010688782,79.41238
Ireland,0.028283651918172836,0.06724678697874126,0.7994148135185242,33.62757
Israel,0.021038606762886047,0.03447146872941635,0.950918972492218,55.580402
Italy,0.024229511618614197,0.03784316275808012,0.9586226344108582,27.373621
Japan,0.029997697100043297,0.05529317983467776,0.9442270398139954,63.870464
Latvia,0.015498362481594086,0.02798517241185841,0.9797272086143494,29.100847
Liechtenstein,0.040953148156404495,0.07035135811368831,0.8885002732276917,40.998108
Lithuania,0.02226976864039898,0.03298811331763246,0.9610645174980164,33.143345
Luxembourg,0.029397711157798767,0.051773975205899506,0.9220024347305298,21.795002
Malaysia,0.02541356161236763,0.04137020031896553,0.9689682126045227,28.467066
Malta,0.03344789892435074,0.06271975967566722,0.8328434228897095,37.226147
Netherlands,0.027762502431869507,0.04947530763827663,0.9281796216964722,39.69422
Norway,0.017703065648674965,0.04881759053079087,0.9362952709197998,42.865215
Poland,0.027229363098740578,0.043173951584769533,0.9518623352050781,45.05817
Portugal,0.0205022431910038,0.03995551283411965,0.9466934204101562,29.17048
Romania,0.02151940017938614,0.03434175657115828,0.9576102495193481,31.16923
Serbia,0.026522131636738777,0.04266041155922895,0.9489971399307251,25.635263
Singapore,0.028214573860168457,0.04047007277114567,0.9598449468612671,86.79489
Slovenia,0.019164033234119415,0.03523739252311298,0.9428739547729492,27.640768
South Africa,0.029109124094247818,0.05190734585179966,0.9412761926651001,33.705063
South Korea,0.02037368156015873,0.027655836424860282,0.9754162430763245,128.5116
Spain,0.01655654050409794,0.028693622360052577,0.9721482396125793,18.20534
Sweden,0.019525496289134026,0.03849350355405898,0.9300796389579773,70.89483
Switzerland,0.025049922987818718,0.04676286128758434,0.946683943271637,25.310862
United Kingdom,0.029492707923054695,0.054297626356373876,0.900547981262207,41.908424
United States,0.01699870079755783,0.029062871406666132,0.9635292291641235,14.828195
